id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
1169,F9,855,DEN,PHX,3,395,110,0
1170,FL,848,MCO,ATL,3,395,96,0
1171,MQ,2878,GJT,DFW,3,395,135,0
1172,MQ,2940,ABI,DFW,3,395,50,0
1173,MQ,4488,CRW,LGA,3,395,100,0
1174,OH,6643,BOS,DCA,3,395,110,0
1175,OO,4458,BZN,SLC,3,395,75,0
1176,OO,4869,MEM,SLC,3,395,206,0
1177,US,1583,PHL,CLT,3,395,102,1
1178,WN,1013,PDX,PHX,3,395,155,0
1179,WN,1147,LAX,SJC,3,395,65,0
1180,WN,12,MCO,HOU,3,395,160,0
1181,WN,134,SAN,DEN,3,395,140,0
1182,WN,137,SAT,HOU,3,395,50,1
1183,WN,178,BWI,BOS,3,395,80,0
1184,WN,1839,IAD,MDW,3,395,120,0
1185,WN,185,IND,BWI,3,395,100,1
1186,WN,1949,FLL,TPA,3,395,60,0
1187,WN,200,BWI,DEN,3,395,255,0
1188,WN,2903,SJC,SAN,3,395,80,1
1189,WN,326,LAX,LAS,3,395,60,1
1190,WN,3307,BDL,MDW,3,395,160,1
1191,WN,3854,PHX,PDX,3,395,175,0
1192,WN,495,LAS,SFO,3,395,95,0
1193,WN,5,TUL,DAL,3,395,60,0
1194,WN,690,DEN,BWI,3,395,205,0
1195,WN,715,MDW,BOS,3,395,135,0
1196,WN,752,HOU,DEN,3,395,155,1
1197,WN,7,MCI,DAL,3,395,95,1
1198,WN,806,OAK,PDX,3,395,105,1
1199,WN,870,ABQ,DAL,3,395,100,0
1200,XE,2091,CVG,IAH,3,395,164,0
1201,DL,2624,MSN,MSP,3,396,70,0
1202,UA,507,ORD,DFW,3,396,158,0
1203,EV,7130,SAV,ORD,3,397,150,0
1204,UA,37,MCO,SFO,3,397,369,0
1205,OO,6293,FSD,DEN,3,398,102,1
1206,UA,891,JFK,LAX,3,398,380,0
1207,XE,2367,DAY,IAH,3,398,171,0
1208,UA,394,LAS,ORD,3,399,216,0
1209,UA,875,ICT,DEN,3,399,101,1
1210,9E,3995,GRB,MSP,3,400,75,1
1211,9E,4360,LNK,MSP,3,400,82,0
1212,AA,1019,CLT,DFW,3,400,185,0
1213,AA,1467,MSY,DFW,3,400,100,0
1214,AA,1477,PHL,DFW,3,400,235,0
1215,AA,1789,ICT,DFW,3,400,85,0
1216,AA,495,MIA,DFW,3,400,195,1
1217,AA,536,DFW,ATL,3,400,125,0
1218,AS,560,PDX,LAX,3,400,137,0
1219,AS,573,SAN,PDX,3,400,159,0
1220,AS,634,PDX,PHX,3,400,158,1
1221,B6,423,BOS,PBI,3,400,195,0
1222,CO,132,SAN,IAH,3,400,190,1
1223,CO,762,MSY,IAH,3,400,70,0
1224,DL,1040,COS,ATL,3,400,169,1
1225,DL,1071,MKE,MSP,3,400,83,1
1226,DL,1100,LAS,SLC,3,400,82,0
1227,DL,1308,AUS,ATL,3,400,142,0
1228,DL,1486,ATL,LGA,3,400,127,1
1229,DL,1829,GRR,DTW,3,400,70,0
1230,DL,2029,SMF,MSP,3,400,217,0
1231,DL,2381,SAT,ATL,3,400,138,0
1232,DL,2514,STL,DTW,3,400,100,0
1233,DL,2526,FLL,ATL,3,400,123,0
1234,DL,2589,DAB,ATL,3,400,92,0
1235,DL,2998,PDX,JFK,3,400,319,0
1236,EV,5207,CHA,ATL,3,400,52,1
1237,EV,5522,ICT,ATL,3,400,129,0
1238,F9,110,DEN,MSP,3,400,117,0
1239,F9,366,DEN,MKE,3,400,133,1
1240,FL,1621,PHL,MCO,3,400,158,1
1241,FL,29,MDW,ATL,3,400,116,0
1242,FL,311,CLT,ATL,3,400,78,0
1243,FL,561,BMI,ATL,3,400,104,0
1244,FL,573,LGA,MKE,3,400,146,0
1245,FL,931,JAX,ATL,3,400,77,0
1246,MQ,3025,LAX,SAN,3,400,45,0
1247,MQ,3193,LAX,SJC,3,400,75,0
1248,MQ,3315,DFW,JAN,3,400,80,0
1249,MQ,3542,CLE,DFW,3,400,185,0
1250,MQ,3704,ELP,ORD,3,400,175,0
1251,MQ,4243,RDU,ORD,3,400,140,0
1252,MQ,4355,OKC,ORD,3,400,135,0
1253,OO,4743,CLE,MSP,3,400,135,0
1254,OO,4871,BIS,SLC,3,400,121,0
1255,OO,6540,BIS,DEN,3,400,107,0
1256,UA,471,TUL,DEN,3,400,110,0
1257,UA,954,LAX,SFO,3,400,85,0
1258,US,202,LAS,PHX,3,400,74,1
1259,US,365,BWI,PHX,3,400,320,1
1260,US,864,JAX,PHL,3,400,126,0
1261,WN,1075,SAT,ELP,3,400,90,0
1262,WN,1091,DAL,ELP,3,400,110,1
1263,WN,1122,DTW,DEN,3,400,200,1
1264,WN,1148,HOU,MDW,3,400,150,1
1265,WN,1170,OAK,PHX,3,400,115,0
1266,WN,1252,STL,BWI,3,400,120,0
1267,WN,1482,BUF,MCO,3,400,170,1
1268,WN,1615,MSP,DEN,3,400,140,0
1269,WN,1659,CMH,BWI,3,400,70,1
1270,WN,1753,ISP,BWI,3,400,75,0
1271,WN,2116,PIT,BWI,3,400,75,1
1272,WN,2276,LAS,SLC,3,400,80,0
1273,WN,3494,LAS,LAX,3,400,65,0
1274,WN,452,MAF,DAL,3,400,70,0
1275,WN,960,SAN,BWI,3,400,295,1
1276,WN,973,SJC,DEN,3,400,145,1
1277,XE,2086,LIT,EWR,3,400,165,1
1278,XE,3133,EWR,CLT,3,400,130,0
1279,XE,2190,MHT,EWR,3,401,79,0
1280,XE,3132,CLT,EWR,3,401,108,0
1281,B6,1278,RIC,BOS,3,402,93,0
1282,OO,6384,BOI,ORD,3,402,198,1
1283,OO,6428,LAS,LAX,3,402,70,0
1284,XE,5975,ORD,DSM,3,402,72,1
1285,UA,163,BOS,LAX,3,404,396,1
1286,9E,3690,LAN,MSP,3,405,112,0
1287,9E,4127,BDL,RDU,3,405,123,0
1288,AA,1114,MIA,LGA,3,405,170,1
1289,AA,1648,SNA,DFW,3,405,185,0
1290,AA,1776,DFW,PHL,3,405,185,1
1291,AA,1794,FAT,DFW,3,405,195,0
1292,AA,1823,ORD,PBI,3,405,175,1
1293,AA,386,STL,ORD,3,405,80,0
1294,AA,393,DFW,DEN,3,405,125,0
1295,AA,407,ORD,STL,3,405,65,0
1296,AA,452,MIA,BOS,3,405,180,0
1297,AS,322,SEA,SJC,3,405,128,0
1298,AS,323,SJC,SEA,3,405,129,0
1299,AS,366,SEA,SMF,3,405,106,0
1300,AS,47,ANC,ADQ,3,405,65,0
1301,AS,581,SNA,PDX,3,405,157,0
1302,CO,1131,EWR,DFW,3,405,250,0
1303,CO,1178,ORD,EWR,3,405,123,1
1304,CO,1535,EWR,PHX,3,405,340,1
1305,CO,1598,SNA,IAH,3,405,204,1
1306,CO,162,ONT,IAH,3,405,187,1
1307,CO,194,LAX,IAH,3,405,194,1
1308,CO,196,LAS,IAH,3,405,177,0
1309,CO,292,EWR,MCO,3,405,174,1
1310,CO,333,LGA,IAH,3,405,235,0
1311,CO,600,FLL,EWR,3,405,170,0
1312,CO,91,EWR,LAX,3,405,367,1
1313,DL,1183,ORF,ATL,3,405,135,0
1314,DL,1802,SNA,ATL,3,405,264,0
1315,DL,1979,BHM,ATL,3,405,69,0
1316,DL,2224,PBI,ATL,3,405,124,0
1317,DL,2305,MCI,MSP,3,405,90,0
1318,DL,2632,SNA,SLC,3,405,132,0
1319,DL,519,RAP,MSP,3,405,100,1
1320,EV,5581,GRK,ATL,3,405,134,1
1321,EV,7341,OKC,ATL,3,405,130,1
1322,F9,265,SNA,DEN,3,405,145,0
1323,F9,822,MCI,DEN,3,405,110,1
1324,F9,847,IND,DEN,3,405,169,0
1325,MQ,2735,DFW,LIT,3,405,70,0
1326,MQ,2751,SGF,DFW,3,405,95,0
1327,MQ,3026,MRY,LAX,3,405,70,0
1328,MQ,3859,IAH,ORD,3,405,155,0
1329,MQ,4093,MQT,GRB,3,405,50,0
1330,MQ,4203,ORD,CMH,3,405,75,0
1331,MQ,4343,ORD,DTW,3,405,85,0
1332,OH,6329,CRW,ATL,3,405,110,0
1333,OH,6437,RIC,CVG,3,405,117,0
1334,OH,6553,LEX,DCA,3,405,96,0
1335,OO,4465,GJT,SLC,3,405,59,0
1336,OO,4480,GFK,MSP,3,405,80,0
1337,OO,4487,IAH,SLC,3,405,199,0
1338,OO,4668,SLC,DEN,3,405,85,1
1339,OO,6816,SGF,DEN,3,405,131,0
1340,OO,6818,DTW,ORD,3,405,71,0
1341,OO,6925,LAX,SEA,3,405,164,0
1342,UA,8,SNA,SFO,3,405,101,1
1343,US,1848,MSP,PHL,3,405,160,0
1344,US,610,SNA,PHX,3,405,89,0
1345,WN,1175,SNA,OAK,3,405,105,0
1346,WN,1268,BOS,BWI,3,405,110,0
1347,WN,1310,BWI,PVD,3,405,70,1
1348,WN,153,LAS,DEN,3,405,115,0
1349,WN,162,IND,LAS,3,405,250,1
1350,WN,1766,PHX,SLC,3,405,100,0
1351,WN,2038,ELP,DAL,3,405,95,0
1352,WN,208,SNA,PHX,3,405,95,1
1353,WN,2356,DAL,ABQ,3,405,110,1
1354,WN,3403,HOU,ABQ,3,405,135,1
1355,WN,346,SLC,PHX,3,405,105,0
1356,WN,356,DEN,HOU,3,405,145,0
1357,WN,410,MDW,PHX,3,405,245,1
1358,WN,533,HOU,LAS,3,405,205,1
1359,WN,650,ABQ,MDW,3,405,165,0
1360,WN,798,LAS,SMF,3,405,90,0
1361,XE,2621,EWR,SDF,3,405,145,0
1362,XE,5899,CLE,ORD,3,405,87,0
1363,YV,2648,PHX,LAS,3,405,68,0
1364,YV,2703,SDF,CLT,3,405,86,0
1365,YV,2727,PSP,PHX,3,405,66,0
1366,YV,2821,LGB,PHX,3,405,87,0
1367,YV,2833,TUS,PHX,3,405,47,0
1368,US,511,SNA,PHX,3,406,88,0
1369,FL,996,BOS,MKE,3,408,162,0
1370,OO,6331,COS,SFO,3,408,184,0
1371,OO,6764,LNK,DEN,3,408,97,0
1372,OO,6843,CWA,ORD,3,408,68,0
1373,OO,6908,ABQ,SFO,3,408,167,0
1374,9E,3656,LSE,MSP,3,410,60,0
1375,9E,4020,GSP,CVG,3,410,92,1
1376,9E,4327,FNT,MSP,3,410,105,1
1377,9E,4389,DLH,MSP,3,410,60,0
1378,AA,1154,PSP,DFW,3,410,170,1
1379,AA,1184,PHX,ORD,3,410,200,0
1380,AA,1397,ORD,RSW,3,410,165,1
1381,AA,1888,DFW,JAX,3,410,125,1
1382,AA,2412,LAX,DFW,3,410,185,1
1383,AA,374,TUS,ORD,3,410,205,0
1384,AA,538,BUR,DFW,3,410,185,0
1385,AA,543,PBI,ORD,3,410,195,0
1386,AA,634,RSW,ORD,3,410,190,0
1387,CO,1019,TPA,EWR,3,410,155,1
1388,CO,1701,EWR,FLL,3,410,178,1
1389,CO,378,SAT,IAH,3,410,61,0
1390,CO,580,LAS,CLE,3,410,230,0
1391,DL,1865,DAY,ATL,3,410,110,0
1392,DL,1922,MKE,DTW,3,410,75,1
1393,DL,2166,MKE,ATL,3,410,134,1
1394,DL,2490,PDX,MSP,3,410,196,0
1395,DL,2921,IND,MSP,3,410,115,0
1396,EV,5070,DCA,STL,3,410,142,1
1397,EV,5431,MSN,ATL,3,410,137,0
1398,FL,796,STL,ATL,3,410,105,0
1399,MQ,3268,ACT,DFW,3,410,45,0
1400,MQ,3931,OMA,ORD,3,410,100,0
1401,MQ,4031,MHK,ORD,3,410,115,0
1402,MQ,4240,SPI,ORD,3,410,65,0
1403,MQ,4250,AVP,ORD,3,410,135,0
1404,OO,4474,MOT,MSP,3,410,82,0
1405,OO,4687,IDA,SLC,3,410,56,1
1406,OO,4716,LGB,SLC,3,410,110,0
1407,OO,4800,SLC,LAX,3,410,115,1
1408,OO,7780,SUN,SLC,3,410,64,0
1409,US,62,DEN,CLT,3,410,189,0
1410,US,632,BUR,PHX,3,410,87,0
1411,WN,1021,MDW,BNA,3,410,85,0
1412,WN,1087,CMH,BNA,3,410,80,1
1413,WN,1132,AUS,PHX,3,410,160,0
1414,WN,1140,TPA,HOU,3,410,145,1
1415,WN,1163,SFO,SNA,3,410,85,0
1416,WN,1218,ABQ,LAS,3,410,100,0
1417,WN,1246,PHX,STL,3,410,175,1
1418,WN,1253,JAX,TPA,3,410,55,0
1419,WN,1279,PHX,BWI,3,410,255,1
1420,WN,1316,HOU,MSY,3,410,65,0
1421,WN,1422,SAN,SFO,3,410,100,0
1422,WN,1546,DEN,SAN,3,410,150,0
1423,WN,2349,ALB,MDW,3,410,145,1
1424,WN,2449,JAN,HOU,3,410,85,1
1425,WN,2654,RDU,BWI,3,410,60,0
1426,WN,2810,LAS,BUR,3,410,65,0
1427,WN,3763,OAK,SLC,3,410,105,0
1428,WN,468,GEG,BOI,3,410,65,0
1429,WN,524,DAL,MCI,3,410,85,0
1430,WN,661,PHX,DEN,3,410,110,1
1431,WN,891,MHT,MCO,3,410,200,1
1432,XE,2309,ATL,IAH,3,410,129,1
1433,XE,3051,JAX,IAH,3,410,146,0
1434,XE,3130,DCA,EWR,3,410,63,1
1435,YV,7258,SYR,ORD,3,410,140,0
1436,DL,2053,OMA,ATL,3,412,153,1
1437,OO,6670,SBP,SFO,3,413,65,0
1438,UA,341,RIC,ORD,3,413,134,0
1439,OO,7003,SEA,LAX,3,414,156,0
1440,AA,1241,PIT,DFW,3,415,205,0
1441,AA,1258,LAX,STL,3,415,215,0
1442,AA,1273,MEM,DFW,3,415,100,0
1443,AA,1461,MCO,DFW,3,415,185,1
1444,AA,1533,ATL,DFW,3,415,150,0
1445,AA,501,BHM,DFW,3,415,130,0
1446,AA,505,JFK,SJU,3,415,245,1
1447,AS,236,PDX,SAN,3,415,145,0
1448,B6,117,JFK,MSY,3,415,204,1
1449,B6,133,JFK,RSW,3,415,192,0
1450,CO,40,LAX,EWR,3,415,317,1
1451,DL,1702,LAS,ATL,3,415,225,0
1452,DL,1879,LGA,FLL,3,415,193,0
1453,DL,1900,MCI,ATL,3,415,134,0
1454,DL,1965,LIT,MEM,3,415,60,0
1455,DL,2069,RIC,ATL,3,415,125,0
1456,DL,2449,BNA,SLC,3,415,259,1
1457,DL,2648,TLH,ATL,3,415,72,1
1458,DL,2685,LGA,MCO,3,415,170,0
1459,EV,5221,FLL,TLH,3,415,84,0
1460,EV,5228,AVL,ATL,3,415,69,0
1461,EV,5414,DCA,BOS,3,415,93,0
1462,EV,7099,ORD,CVG,3,415,68,0
1463,MQ,2786,GPT,DFW,3,415,110,1
1464,OH,6590,IAD,CVG,3,415,110,1
1465,OO,6427,ORD,BHM,3,415,103,1
1466,OO,6529,ELP,ORD,3,415,177,0
1467,UA,237,PIT,SFO,3,415,353,1
1468,UA,323,PHL,DEN,3,415,271,0
1469,UA,434,ORD,CMH,3,415,75,1
1470,UA,835,BOS,ORD,3,415,173,0
1471,US,195,PHL,PHX,3,415,317,0
1472,WN,1587,LBB,DAL,3,415,65,0
1473,WN,1590,ONT,LAS,3,415,60,0
1474,WN,1944,SAN,OAK,3,415,95,0
1475,WN,1980,TPA,JAX,3,415,50,1
1476,WN,3238,CLE,MDW,3,415,85,1
1477,WN,3773,SLC,LAS,3,415,85,1
1478,WN,407,FLL,JAX,3,415,70,0
1479,WN,653,OAK,LAX,3,415,75,1
1480,WN,694,SMF,SAN,3,415,85,0
1481,WN,729,PHX,LAS,3,415,65,0
1482,WN,805,MSY,DAL,3,415,85,0
1483,WN,951,BWI,MDW,3,415,130,0
1484,OO,6566,SLC,SFO,3,416,143,0
1485,UA,528,MSP,ORD,3,416,84,0
1486,OO,6935,SMF,ACV,3,417,64,0
1487,UA,602,ORD,DCA,3,418,111,0
1488,DL,2555,LGA,PBI,3,419,186,1
1489,DL,2683,DCA,MIA,3,419,159,0
1490,DL,2839,DCA,ATL,3,419,135,0
1491,FL,1612,DCA,MCO,3,419,148,0
1492,UA,998,MCO,ORD,3,419,178,0
1493,US,1631,DCA,CLT,3,419,95,0
1494,YV,2681,CVG,CLT,3,419,86,0
1495,9E,3697,LAN,DTW,3,420,60,0
1496,9E,3716,SBN,MSP,3,420,99,1
1497,9E,3721,MBS,DTW,3,420,59,0
1498,9E,3891,MDW,DTW,3,420,84,1
1499,9E,3982,EVV,DTW,3,420,95,0
1500,9E,4098,RDU,JFK,3,420,135,0
1501,9E,4301,IND,RDU,3,420,105,0
1502,9E,4314,DTW,ORF,3,420,114,0
1503,9E,4328,MSP,IND,3,420,103,0
1504,9E,4356,GTR,MEM,3,420,55,0
1505,AA,1088,BNA,LGA,3,420,125,1
1506,AA,1164,DFW,MSY,3,420,80,0
1507,AA,1310,DFW,IAD,3,420,160,0
1508,AA,1352,AUS,DFW,3,420,65,0
1509,AA,1363,RDU,MIA,3,420,130,0
1510,AA,1364,LAX,ORD,3,420,250,0
1511,AA,1590,DFW,EWR,3,420,195,0
1512,AA,1629,RIC,DFW,3,420,215,0
1513,AA,1841,SDF,DFW,3,420,150,0
1514,AA,2303,ORD,DFW,3,420,155,1
1515,AA,385,BWI,DFW,3,420,215,0
1516,AA,457,MCO,MIA,3,420,65,0
1517,AA,555,CMH,DFW,3,420,180,0
1518,AA,59,JFK,SFO,3,420,405,0
1519,AA,707,LGA,DFW,3,420,250,0
1520,AA,716,ORD,MCO,3,420,155,0
1521,AA,732,RNO,DFW,3,420,200,0
1522,AA,937,BOS,MIA,3,420,215,0
1523,AS,181,ANC,FAI,3,420,60,0
1524,AS,244,SEA,LAX,3,420,155,0
1525,AS,307,PSP,SFO,3,420,86,0
1526,AS,30,PDX,BOS,3,420,320,1
1527,AS,315,SFO,SEA,3,420,124,0
1528,AS,347,OAK,SEA,3,420,120,0
1529,AS,371,SMF,SEA,3,420,112,0
1530,AS,41,ANC,BET,3,420,77,1
1531,AS,515,SNA,SEA,3,420,173,0
1532,AS,527,BUR,SEA,3,420,160,0
1533,AS,603,LAS,SEA,3,420,160,0
1534,AS,641,PHX,SEA,3,420,188,0
1535,AS,65,SEA,KTN,3,420,131,0
1536,AS,660,SEA,DFW,3,420,230,0
1537,AS,665,DFW,SEA,3,420,267,0
1538,AS,699,GEG,SEA,3,420,67,0
1539,B6,1060,AUS,JFK,3,420,205,1
1540,B6,1203,BUF,RSW,3,420,186,0
1541,B6,1240,CLT,BOS,3,420,123,0
1542,B6,1275,BOS,MCO,3,420,194,1
1543,B6,1281,BOS,RIC,3,420,108,1
1544,B6,1297,BOS,PIT,3,420,109,0
1545,B6,204,SFO,LGB,3,420,82,0
1546,B6,231,SLC,LGB,3,420,117,0
1547,B6,262,LGB,SMF,3,420,83,0
1548,B6,418,PBI,BOS,3,420,172,0
1549,B6,521,EWR,MCO,3,420,170,1
1550,B6,620,HOU,JFK,3,420,199,1
1551,B6,661,SYR,MCO,3,420,178,0
1552,B6,703,JFK,SJU,3,420,227,0
1553,B6,741,MCO,SJU,3,420,157,1
1554,B6,920,ORD,BOS,3,420,131,1
1555,CO,1130,DFW,EWR,3,420,198,0
1556,CO,1559,DCA,IAH,3,420,209,0
1557,CO,1573,AUS,IAH,3,420,57,0
1558,CO,276,EWR,RSW,3,420,191,0
1559,CO,448,EWR,SFO,3,420,396,1
1560,CO,618,EWR,TPA,3,420,179,1
1561,DL,1004,TUL,ATL,3,420,122,1
1562,DL,1012,IAH,ATL,3,420,130,0
1563,DL,1103,JFK,SLC,3,420,342,0
1564,DL,1108,MSP,CLT,3,420,156,0
1565,DL,1163,EWR,DTW,3,420,128,0
1566,DL,1232,SLC,DTW,3,420,221,1
1567,DL,1235,EWR,SLC,3,420,327,1
1568,DL,1273,CMH,ATL,3,420,115,0
1569,DL,1402,TPA,MEM,3,420,122,0
1570,DL,1415,SAT,DTW,3,420,185,0
1571,DL,1477,ORD,ATL,3,420,125,1
1572,DL,1498,FLL,LGA,3,420,174,1
1573,DL,1547,LGA,ATL,3,420,164,0
1574,DL,1550,LAS,MSP,3,420,193,0
1575,DL,1769,ATL,MCO,3,420,82,0
1576,DL,1821,MIA,JFK,3,420,176,0
1577,DL,1996,MSP,LGA,3,420,175,1
1578,DL,2094,MLB,ATL,3,420,113,0
1579,DL,210,LAS,JFK,3,420,295,1
1580,DL,2120,ORD,DTW,3,420,90,1
1581,DL,2145,PVD,ATL,3,420,179,0
1582,DL,2147,MHT,ATL,3,420,184,0
1583,DL,2178,DTW,CLT,3,420,116,0
1584,DL,2236,DFW,MSP,3,420,142,0
1585,DL,2276,MCO,LGA,3,420,150,1
1586,DL,2298,SRQ,ATL,3,420,105,0
1587,DL,2452,MSY,LGA,3,420,175,1
1588,DL,2533,BOS,MCO,3,420,205,0
1589,DL,2599,MSP,PHX,3,420,212,1
1590,DL,2610,DFW,ATL,3,420,130,1
1591,DL,2630,MSP,BOS,3,420,166,0
1592,DL,2646,PHX,ATL,3,420,208,0
1593,DL,2663,JFK,LAX,3,420,394,1
1594,DL,2787,FAR,MSP,3,420,81,1
1595,DL,2923,MSP,MCO,3,420,198,0
1596,DL,2927,MSP,MCI,3,420,95,1
1597,DL,2937,MSN,DTW,3,420,84,0
1598,DL,2944,DTW,EWR,3,420,107,1
1599,DL,2952,TPA,LGA,3,420,159,1
1600,DL,339,LIT,ATL,3,420,95,0
1601,DL,749,JAC,SLC,3,420,57,1
1602,EV,5136,FAY,ATL,3,420,97,1
1603,EV,5267,CAK,ATL,3,420,129,0
1604,EV,5484,ECP,ATL,3,420,80,0
1605,EV,5580,STL,DCA,3,420,123,0
1606,EV,7307,BOS,DTW,3,420,150,0
1607,F9,128,DEN,DFW,3,420,110,0
1608,F9,401,DEN,LAX,3,420,145,0
1609,F9,766,LAS,DEN,3,420,110,0
1610,FL,1091,IND,MCO,3,420,144,0
1611,FL,1206,RIC,MCO,3,420,131,0
1612,FL,1218,MDW,SRQ,3,420,154,0
1613,FL,1222,PIT,FLL,3,420,171,1
1614,FL,1601,DFW,MCO,3,420,149,0
1615,FL,363,LGA,ATL,3,420,153,0
1616,FL,481,BWI,MCO,3,420,140,0
1617,FL,60,LAX,ATL,3,420,250,0
1618,FL,754,HSV,BWI,3,420,110,0
1619,FL,868,MSP,ATL,3,420,156,0
1620,MQ,2710,XNA,DFW,3,420,75,0
1621,MQ,2818,MGM,DFW,3,420,125,0
1622,MQ,2903,VPS,DFW,3,420,140,0
1623,MQ,3049,SAN,LAX,3,420,50,0
1624,MQ,3244,DFW,BTR,3,420,80,0
1625,MQ,3616,IND,MIA,3,420,170,1
1626,MQ,3624,PNS,MIA,3,420,100,0
1627,MQ,3629,MIA,BNA,3,420,145,0
1628,MQ,3678,MIA,TLH,3,420,85,0
1629,MQ,4093,GRB,ORD,3,420,65,0
1630,MQ,4100,TYS,ORD,3,420,110,0
1631,MQ,4132,ORD,MCI,3,420,90,1
1632,MQ,4280,HSV,ORD,3,420,130,0
1633,MQ,4534,LGA,XNA,3,420,220,0
1634,OH,6315,RDU,MCO,3,420,120,0
1635,OH,6327,CLT,CVG,3,420,101,1
1636,OH,6331,RDU,LGA,3,420,101,0
1637,OH,6382,AZO,DTW,3,420,60,0
1638,OH,6384,IAH,CVG,3,420,135,0
1639,OH,6396,STL,RDU,3,420,121,0
1640,OH,6578,CLE,DTW,3,420,59,0
1641,OH,6581,RDU,BOS,3,420,130,0
1642,OH,6628,DFW,CVG,3,420,131,0
1643,OH,6680,ATW,DTW,3,420,79,0
1644,OH,6718,MDT,CVG,3,420,105,0
1645,OO,4594,CID,MSP,3,420,63,0
1646,OO,4626,SFO,LAX,3,420,75,0
1647,OO,6329,SFO,ACV,3,420,86,0
1648,OO,6703,ATL,ORD,3,420,117,0
1649,OO,6738,ASE,DEN,3,420,55,0
1650,UA,144,SFO,DEN,3,420,165,0
1651,UA,373,LGA,ORD,3,420,157,0
1652,UA,415,MSY,DEN,3,420,186,0
1653,UA,440,SNA,DEN,3,420,155,1
1654,UA,536,ORD,LGA,3,420,132,1
1655,UA,603,DCA,ORD,3,420,127,0
1656,UA,819,EWR,ORD,3,420,162,0
1657,UA,934,HNL,LAX,3,420,343,0
1658,US,1059,SAT,CLT,3,420,160,0
1659,US,1123,MSP,CLT,3,420,158,0
1660,US,1274,MHT,PHL,3,420,93,0
1661,US,127,MKE,PHX,3,420,249,0
1662,US,1428,MCO,CLT,3,420,98,0
1663,US,1455,TPA,CLT,3,420,100,1
1664,US,1507,BWI,CLT,3,420,97,0
1665,US,1567,IAD,CLT,3,420,87,0
1666,US,1935,BUF,PHL,3,420,81,1
1667,US,2023,BOS,DCA,3,420,100,0
1668,US,2116,LGA,BOS,3,420,65,0
1669,US,2117,BOS,LGA,3,420,82,0
1670,US,2160,DCA,LGA,3,420,81,0
1671,US,2163,LGA,DCA,3,420,71,1
1672,US,231,BOI,PHX,3,420,126,0
1673,US,245,FLL,PHX,3,420,315,1
1674,US,433,LAS,PHL,3,420,280,0
1675,US,807,DCA,PHX,3,420,320,1
1676,US,943,ORF,CLT,3,420,85,0
1677,US,963,IND,CLT,3,420,102,1
1678,US,972,JAX,CLT,3,420,83,0
1679,US,986,FLL,DCA,3,420,145,0
1680,US,995,RIC,CLT,3,420,76,1
1681,WN,1006,BOI,DEN,3,420,110,1
1682,WN,1083,MDW,MSP,3,420,90,1
1683,WN,1231,ISP,TPA,3,420,185,0
1684,WN,1237,MDW,CLE,3,420,75,0
1685,WN,128,MDW,LAX,3,420,270,1
1686,WN,1414,HRL,SAT,3,420,55,0
1687,WN,1468,STL,BNA,3,420,65,0
1688,WN,1,DAL,HOU,3,420,60,1
1689,WN,2121,SMF,SEA,3,420,115,0
1690,WN,2297,TPA,BNA,3,420,115,1
1691,WN,2716,MDW,IAD,3,420,105,0
1692,WN,2725,PIT,TPA,3,420,155,0
1693,WN,2959,BDL,MCO,3,420,185,0
1694,WN,311,OKC,PHX,3,420,155,1
1695,WN,3338,SJC,SEA,3,420,130,1
1696,WN,3412,MDW,MCO,3,420,160,0
1697,WN,3496,LIT,PHX,3,420,195,1
1698,WN,441,SDF,PHX,3,420,255,1
1699,WN,458,OAK,ONT,3,420,70,0
1700,WN,465,SAN,MCI,3,420,190,1
1701,WN,474,AUS,BWI,3,420,180,0
1702,WN,4,HOU,DAL,3,420,60,0
1703,WN,500,OAK,SAN,3,420,85,0
1704,WN,542,MDW,PIT,3,420,80,0
1705,WN,598,MCI,DEN,3,420,120,1
1706,WN,605,DEN,SLC,3,420,95,0
1707,WN,794,TPA,BWI,3,420,130,1
1708,WN,825,BWI,MHT,3,420,75,0
1709,WN,827,MHT,PHL,3,420,95,0
1710,WN,845,PHL,MCO,3,420,165,0
1711,WN,892,BHM,BWI,3,420,110,0
1712,WN,894,DAL,MSY,3,420,80,1
1713,WN,917,LAX,RNO,3,420,80,0
1714,WN,979,MSY,HOU,3,420,75,0
1715,XE,2102,LCH,IAH,3,420,44,0
1716,XE,2137,LFT,IAH,3,420,64,0
1717,XE,2220,SHV,IAH,3,420,62,0
1718,XE,2360,EWR,DTW,3,420,119,0
1719,XE,2448,LIT,IAH,3,420,85,1
1720,XE,2526,EWR,GRR,3,420,134,0
1721,YV,2602,SAV,CLT,3,420,72,0
1722,YV,2978,SFO,LAS,3,420,85,0
1723,YV,7267,PWM,ORD,3,420,177,0
1724,FL,599,ROC,ATL,3,421,150,0
1725,OH,6373,JAN,DCA,3,421,134,0
1726,OO,6382,SFO,BOI,3,421,92,1
1727,UA,149,ORD,SFO,3,422,286,1
1728,DL,1429,JFK,LAS,3,423,357,0
1729,DL,2575,GSO,ATL,3,423,92,0
1730,HA,217,KOA,HNL,3,423,42,0
1731,UA,264,PHX,DEN,3,424,111,0
1732,UA,944,LAX,ORD,3,424,241,0
1733,9E,3854,MSP,CLE,3,425,115,0
1734,AA,1026,DFW,MCI,3,425,95,0
1735,AA,1041,BOS,ORD,3,425,190,0
